Title,Location
0,All Nations Church,"Tujunga, California"
1,Alta Public Schools,"Scattered Sites Located In Council Districts 1, 9 And 10."
2,Columbia Apartments,"Los Angeles, California"
3,Doheny Eye Institute,Hollywood California
4,Emerson College - West Coast Campus,"Los Angeles, California"
5,Little Tokyo Towers,"Los Angeles, California"
6,Olympic on Hoover Development,"Sherman Oaks, Council District 4"
7,Orangewood Court Apartments – Value Housing,"Pacoima, California"
8,Pierce Park Apartments,"Los Angeles, California"
9,Rosewood Gardens,Wilshire Westlake Area Of Los Angeles: 7th And Westmoreland
10,Southwestern Law School,"Los Angeles, California"
11,Temple Street & Westlake Development,"Los Angeles, California"
12,Vintage at 7700 North Woodman Avenue,Downtown Los Angeles - 3rd & Alameda
13,X Lanes Entertainment Center,"Los Angeles, California"
14,5530 Virginia Avenue,Washington Blvd and 101 Freeway
